Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE
Date,,,,,,
2020-01-01,17318.5,17318.5,17666.5,17033.19921875,17131.599609375,4661181300
2020-02-01,16263.099609375,16263.099609375,17970.5,15896.400390625,17351.0,4968852600
2020-03-01,13378.7998046875,13378.7998046875,16798.19921875,11172.7001953125,16325.0,10996859000
2020-04-01,14780.7001953125,14780.7001953125,15257.900390625,12814.0,12966.7998046875,7314475700
2020-05-01,15192.7998046875,15192.7998046875,15342.400390625,14187.5,14563.0,6397636900
2020-06-01,15515.2001953125,15515.2001953125,15980.099609375,14934.7001953125,15177.599609375,7063577500
2020-07-01,16169.2001953125,16169.2001953125,16317.900390625,15391.7001953125,15694.099609375,4284800500
2020-08-01,16514.400390625,16514.400390625,16835.099609375,16172.599609375,16172.599609375,3995195600
2020-09-01,16121.400390625,16121.400390625,16725.69921875,15725.0,16533.19921875,4937004400
2020-10-01,15580.599609375,15580.599609375,16611.0,15418.5,16189.7001953125,4432015700
2020-11-01,17190.30078125,17190.30078125,17411.0,15569.400390625,15684.900390625,5684347100
2020-12-01,17433.400390625,17433.400390625,17684.099609375,17220.900390625,17431.30078125,5202728900
2021-01-01,17337.0,17337.0,18058.599609375,17297.80078125,17583.400390625,5011119800
2021-02-01,18060.30078125,18060.30078125,18579.69921875,17487.69921875,17527.400390625,5377980500
2021-03-01,18700.69921875,18700.69921875,19037.099609375,17950.80078125,18249.80078125,6437586500
2021-04-01,19108.30078125,19108.30078125,19439.80078125,18772.69921875,18799.900390625,4225253700
2021-05-01,19731.0,19731.0,19909.599609375,19052.400390625,19193.599609375,4768339900
2021-06-01,20165.599609375,20165.599609375,20295.19921875,19906.80078125,19909.099609375,5048796900
2021-07-01,20287.80078125,20287.80078125,20381.69921875,19605.900390625,20267.19921875,3578207200
2021-08-01,20582.900390625,20582.900390625,20703.900390625,20109.400390625,20325.099609375,3744107300
2021-09-01,20070.30078125,20070.30078125,20897.599609375,19982.19921875,20604.80078125,4873607400
2021-10-01,21037.099609375,21037.099609375,21311.80078125,19954.80078125,20122.69921875,4262776700
2021-11-01,20660.0,20660.0,21796.19921875,20660.0,21124.30078125,5462320600
2021-12-01,21222.80078125,21222.80078125,21433.900390625,20382.30078125,20917.5,4977949200
2022-01-01,21098.30078125,21098.30078125,21550.099609375,19912.599609375,21335.599609375,5257279600
2022-02-01,21126.400390625,21126.400390625,21784.69921875,20397.19921875,21160.5,5479522300
2022-03-01,21890.19921875,21890.19921875,22181.80078125,20912.099609375,21144.0,7319750900
2022-04-01,20762.0,20762.0,22213.099609375,20619.30078125,21970.80078125,5028357300
2022-05-01,20729.30078125,20729.30078125,21212.900390625,19480.0,20707.69921875,6123813800
2022-06-01,18861.400390625,18861.400390625,21036.400390625,18661.5,20816.69921875,6198477400
2022-07-01,19692.900390625,19692.900390625,19734.0,18169.900390625,18951.19921875,4716787900
2022-08-01,19330.80078125,19330.80078125,20323.599609375,19329.900390625,19568.900390625,5300428700
2022-09-01,18444.19921875,18444.19921875,20032.599609375,18247.69921875,19179.5,5557866000
2022-10-01,19426.099609375,19426.099609375,19516.400390625,17873.19921875,18621.80078125,4759105500
2022-11-01,20453.30078125,20453.30078125,20456.599609375,19090.599609375,19674.900390625,5746939400
2022-12-01,19384.900390625,19384.900390625,20639.5,19159.599609375,20541.19921875,5192836900
2023-01-01,20767.400390625,20767.400390625,20771.599609375,19380.30078125,19531.400390625,4908705500
2023-02-01,20221.19921875,20221.19921875,20843.19921875,19997.30078125,20731.900390625,4814404700
2023-03-01,20099.900390625,20099.900390625,20615.5,19155.80078125,20200.900390625,6725957500
2023-04-01,20636.5,20636.5,20729.5,20097.599609375,20108.400390625,4222937000
2023-05-01,19572.19921875,19572.19921875,20766.900390625,19522.599609375,20663.69921875,4609672700
2023-06-01,20155.30078125,20155.30078125,20178.80078125,19400.69921875,19573.0,4610693700
2023-07-01,20626.599609375,20626.599609375,20677.30078125,19719.599609375,20180.30078125,3927679700
2023-08-01,20292.599609375,20292.599609375,20585.900390625,19675.099609375,20570.599609375,4211625500
2023-09-01,19541.30078125,19541.30078125,20652.19921875,19341.400390625,20398.80078125,4492110500
2023-10-01,18873.5,18873.5,19768.599609375,18692.099609375,19520.900390625,4123721000
2023-11-01,20236.30078125,20236.30078125,20262.0,18907.69921875,18926.19921875,4416554000
2023-12-01,20958.400390625,20958.400390625,21091.099609375,20125.099609375,20208.099609375,4604585500
2024-01-01,21021.900390625,21021.900390625,21250.900390625,20594.19921875,20904.30078125,4136676100
2024-02-01,21363.599609375,21363.599609375,21449.900390625,20466.5,21065.5,4265284300
2024-03-01,22167.0,22167.0,22220.900390625,21394.19921875,21394.19921875,4936348800
2024-04-01,21714.5,21714.5,22380.19921875,21536.099609375,22186.5,4895423700
2024-05-01,22269.099609375,22269.099609375,22555.0,21623.69921875,21692.0,4940523700
2024-06-01,21875.80078125,21875.80078125,22312.099609375,21466.599609375,22262.099609375,4958724100
2024-07-01,23110.80078125,23110.80078125,23209.69921875,21802.30078125,21850.400390625,4288630800
2024-08-01,23346.19921875,23346.19921875,23414.0,21659.30078125,23105.30078125,4845789200
2024-09-01,24000.400390625,24000.400390625,24107.0,22679.900390625,23282.30078125,5712698400
2024-10-01,24156.900390625,24156.900390625,24922.900390625,23824.0,23982.900390625,4738843900
2024-11-01,25648.0,25648.0,25694.5,24162.19921875,24225.30078125,4924806100
