Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE
Date,,,,,,
1999-01-01,6729.60009765625,6729.60009765625,6886.89990234375,6489.2998046875,6522.2001953125,1349751400
1999-02-01,6312.7001953125,6312.7001953125,6779.39990234375,6257.5,6754.7998046875,1231034500
1999-03-01,6597.7998046875,6597.7998046875,6666.0,6157.7001953125,6289.60009765625,1582007000
1999-04-01,7014.7001953125,7014.7001953125,7115.2998046875,6595.7998046875,6613.10009765625,1271624800
1999-05-01,6841.7998046875,6841.7998046875,7110.10009765625,6727.60009765625,7020.10009765625,1186374000
1999-06-01,7010.10009765625,7010.10009765625,7028.5,6788.5,6841.7998046875,1382575500
1999-07-01,7081.0,7081.0,7309.2001953125,6977.60009765625,7091.5,1179163900
1999-08-01,6970.7998046875,6970.7998046875,7230.2998046875,6752.5,7092.0,1322774600
1999-09-01,6957.7001953125,6957.7001953125,7175.0,6717.5,6993.0,1454890100
1999-10-01,7256.2001953125,7256.2001953125,7256.2001953125,6809.7998046875,6906.39990234375,1264615400
1999-11-01,7523.2001953125,7523.2001953125,7903.5,7196.89990234375,7227.10009765625,1552340700
1999-12-01,8413.7998046875,8413.7998046875,8498.7998046875,7519.5,7691.39990234375,1089937900
2000-01-01,8481.099609375,8481.099609375,8755.599609375,8018.60009765625,8271.7001953125,1401281200
2000-02-01,9129.0,9129.0,9557.599609375,8438.400390625,8496.2998046875,907177500
2000-03-01,9462.400390625,9462.400390625,10176.7001953125,9191.900390625,9317.900390625,1364783800
2000-04-01,9347.599609375,9347.599609375,9640.099609375,8421.599609375,9520.7001953125,1839722300
2000-05-01,9252.0,9252.0,9620.5,8807.400390625,9399.099609375,2137767400
2000-06-01,10195.5,10195.5,10310.099609375,9397.900390625,9397.900390625,1916390000
2000-07-01,10406.2998046875,10406.2998046875,10983.2998046875,10153.099609375,10195.5,1496248000
2000-08-01,11247.900390625,11247.900390625,11325.400390625,10181.5,10456.7001953125,1777334700
2000-09-01,10377.900390625,10377.900390625,11402.0,10203.0,11375.400390625,1752648800
2000-10-01,9639.599609375,9639.599609375,10701.5,9185.599609375,10491.7001953125,2147719000
2000-11-01,8819.900390625,8819.900390625,9786.2001953125,8593.5,9561.2998046875,1865611100
2000-12-01,8933.7001953125,8933.7001953125,9661.5,8561.900390625,8896.7998046875,1999559800
2001-01-01,9321.900390625,9321.900390625,9425.5,8474.2998046875,8961.7998046875,2150227000
2001-02-01,8078.7001953125,8078.7001953125,9367.7998046875,7913.7998046875,9276.400390625,2073520300
2001-03-01,7608.0,7608.0,8315.400390625,7438.5,8033.10009765625,2363551000
2001-04-01,7946.60009765625,7946.60009765625,8147.7001953125,7382.0,7633.2998046875,2109652800
2001-05-01,8161.89990234375,8161.89990234375,8409.099609375,7864.5,7915.60009765625,2534824200
2001-06-01,7736.39990234375,7736.39990234375,8334.7998046875,7519.5,8180.10009765625,2347854900
2001-07-01,7689.7001953125,7689.7001953125,7765.60009765625,7531.60009765625,7687.10009765625,1597000400
2001-08-01,7399.2001953125,7399.2001953125,7777.10009765625,7397.39990234375,7703.0,1681793200
